rank,gender,age,follows,region,listen_count
5,Female,19,20,山东省 - 滨州市,296
8,Female,22,23,江西省 - 赣州市,3155
7,Male,26,194,甘肃省 - 兰州市,2958
7,Female,28,49,山东省 - 烟台市,2343
7,Male,18,24,山东省 - 烟台市,2268
7,Female,,86,广东省 - 广州市,1316
6,Female,,23,陕西省 - 西安市,592
7,Female,23,34,河南省 - 开封市,2988
8,Male,,12,浙江省 - 湖州市,4735
7,Female,19,134,天津市 ,1469
8,Male,23,65,黑龙江省 - 哈尔滨市,3212
7,Female,,29,云南省 - 昆明市,1502
6,Male,20,19,宁夏 - 银川市,406
7,Female,,92,四川省 - 绵阳市,1685
7,Male,,13,辽宁省 - 大连市,1114
5,Female,,8,贵州省 - 贵阳市,509
7,Female,21,134,陕西省 - 西安市,1973
7,Female,,21,安徽省 - 安庆市,1214
2,Male,18,4,上海市 ,50
6,Male,,6,广东省 - 河源市,411
7,Female,,61,北京市 ,1303
8,Female,,37,,4439
8,Male,,81,北京市 ,3464
7,Female,97,68,北京市 ,1513
8,Male,23,122,四川省 - 内江市,5648
6,Male,,6,黑龙江省 - 绥化市,583
7,Female,,2,北京市 ,2642
8,Male,22,120,天津市 ,3055
8,Male,18,33,海外 - 西班牙,3034
6,Female,,2,山东省 - 青岛市,545
8,Female,,47,广东省 - 深圳市,4834
6,Female,,62,安徽省 - 六安市,931
7,Male,,6,内蒙古 - 呼和浩特市,1273
5,Male,,27,,1390
7,Male,28,17,海南省 - 海口市,1649
8,Female,,96,,4506
8,Male,20,23,浙江省 - 金华市,7659
7,Female,,18,四川省 - 巴中市,1037
7,Female,19,148,湖南省 - 岳阳市,1736
8,Male,21,53,宁夏 - 银川市,5889
7,Male,20,24,贵州省 - 贵阳市,1063
6,Female,,6,广东省 - 深圳市,491
7,Male,27,55,海外 - 芬兰,2091
6,Female,,7,山东省 - 济南市,901
5,Female,,9,湖北省 - 武汉市,325
8,Male,20,13,陕西省 - 咸阳市,7329
6,Female,16,55,安徽省 - 安庆市,432
4,Female,,4,湖北省 - 武汉市,194
7,Male,28,18,北京市 ,1303
7,Male,22,56,山西省 - 太原市,1526
10,Male,,2520,,24981
7,Female,,16,重庆市 ,2439
7,Female,19,5,云南省 - 昆明市,2381
8,Female,23,22,湖南省 - 长沙市,3756
8,Female,16,32,甘肃省 - 平凉市,3466
7,Female,22,49,河北省 - 保定市,2397
8,Male,,80,河北省 - 石家庄市,3207
8,Male,22,104,北京市 ,7239
6,Male,,25,陕西省 - 西安市,800
4,Female,,6,河南省 - 洛阳市,158
9,Male,,28,北京市 ,8346
6,Female,,10,安徽省 - 合肥市,1152
7,Female,20,21,陕西省 - 渭南市,1125
6,Male,,10,四川省 - 成都市,561
6,Female,21,61,河南省 - 开封市,659
8,Male,26,34,北京市 ,5289
6,Male,,7,上海市 ,595
8,Female,23,103,吉林省 - 吉林市,7077
7,Male,,38,,2768
6,Male,,2,河南省 - 郑州市,581
7,Male,24,16,湖南省 - 衡阳市,1219
8,Male,23,151,浙江省 - 宁波市,3076
7,Female,28,7,北京市 ,2345
7,Female,,17,,1875
7,Male,28,58,黑龙江省 - 哈尔滨市,1630
7,Female,,85,河北省 - 保定市,1190
6,Female,,17,河南省 - 郑州市,502
7,Male,28,21,甘肃省 - 酒泉市,2676
8,Male,,145,山东省 - 淄博市,3605
5,Male,19,11,宁夏 - 石嘴山市,441
8,Male,,88,,4598
7,Male,,49,河南省 - 郑州市,2574
7,Male,25,26,河北省 - 廊坊市,1315
7,Female,,23,福建省 - 厦门市,2805
7,Female,23,131,河北省 - 石家庄市,2488
6,Male,,4,四川省 - 绵阳市,481
1,Male,,8,辽宁省 - 盘锦市,26
9,Female,,95,浙江省 - 衢州市,9763
7,Male,26,30,江苏省 - 无锡市,1485
6,Female,,101,福建省 - 厦门市,530
7,Male,28,32,澳门 ,2552
7,Male,26,67,广东省 - 东莞市,1282
8,Male,26,61,黑龙江省 - 哈尔滨市,6241
7,Female,21,109,河南省 - 郑州市,1617
7,Male,23,29,江苏省 - 南京市,1490
7,Male,19,29,新疆 - 博尔塔拉蒙古自治州,1693
7,Male,23,24,浙江省 - 台州市,2416
8,Male,20,770,河南省 - 开封市,4261
6,Male,,7,北京市 ,565
8,Male,,49,河北省 - 廊坊市,3992
8,Male,29,23,新疆 - 乌鲁木齐市,5055
7,Male,,62,福建省 - 福州市,2550
7,Male,,33,山东省 - 东营市,1652
7,Female,22,26,北京市 ,1607
7,Male,21,72,辽宁省 - 沈阳市,2687
6,Female,19,16,陕西省 - 西安市,561
3,Female,,6,湖南省 - 湘潭市,113
7,Female,,50,湖北省 - 武汉市,2115
1,Female,23,6,山东省 - 潍坊市,37
7,Male,,15,,1568
7,Male,,39,山东省 - 济宁市,1979
7,Male,24,118,宁夏 - 中卫市,2402
7,Male,22,102,甘肃省 - 兰州市,1135
8,Male,20,60,湖南省 - 长沙市,7847
8,Male,26,10,四川省 - 达州市,5928
3,Male,31,4,江苏省 - 苏州市,122
6,Male,22,82,北京市 ,924
8,Male,28,65,浙江省 - 杭州市,5157
8,Female,27,70,海外 - 美国,3167
6,Female,,12,江西省 - 九江市,635
4,Male,30,7,四川省 - 成都市,164
5,Female,,32,安徽省 - 滁州市,378
6,Male,18,346,北京市 ,664
4,Female,,10,北京市 ,186
5,Male,19,61,山东省 - 泰安市,395
7,Male,,9,,3827
5,Male,,15,四川省 - 成都市,393
5,Female,,8,江西省 - 上饶市,259
8,Male,22,52,山西省 - 长治市,3094
7,Female,,6,湖北省 - 荆州市,1720
7,Male,23,120,山东省 - 烟台市,2372
8,Female,24,197,湖北省 - 武汉市,6629
8,Male,28,3,海外 - 澳大利亚,4325
7,Male,24,57,北京市 ,1971
8,Male,23,251,天津市 ,5820
6,Female,,13,山东省 - 枣庄市,1476
3,Male,23,18,山东省 - 潍坊市,75
7,Male,,31,上海市 ,2071
7,Male,21,64,河南省 - 郑州市,2816
8,Female,24,315,上海市 ,3133
6,Male,,3,广东省 - 深圳市,459
8,Male,,255,,5965
8,Male,,33,,3389
7,Female,20,53,海外 - 玻利维亚,2526
6,Female,19,2,四川省 - 德阳市,780
8,Male,28,24,四川省 - 达州市,3112
5,Female,,24,,459
5,Male,,14,河南省 - 新乡市,332
10,Female,,255,,20302
8,Female,23,201,黑龙江省 - 哈尔滨市,3410
6,Male,,53,,998
6,Male,,39,,408
7,Male,,16,山西省 - 太原市,2236
6,Male,19,27,广东省 - 东莞市,807
8,Male,28,12,海外 - 其它,4121
8,Female,21,34,湖北省 - 孝感市,3384
9,Male,,7,,34010
7,Male,26,7,四川省 - 泸州市,1068
7,Male,25,123,甘肃省 - 兰州市,2477
8,Male,30,5,山东省 - 青岛市,6118
6,Female,,6,广东省 - 广州市,819
7,Female,,79,,1845
