用户ID,评论时间,点赞总数,评论内容
"499255720,2017-11-18 23:15:15,1,我喜欢在舞台中央静静唱歌的你没有华丽的舞蹈 只有一把吉他一个你我想去成都也想去你说的鼓楼看看坐着107路过什刹海感受人潮拥挤明年我想看一场你的演唱会 晚安  赵雷+"
"106477229,2017-11-18 23:07:47,5,北京的鼓楼的真的和这首歌说的一样呢~去鼓楼的时候一直哼着这首歌，我在鼓楼~[星星]+"
"566137916,2017-11-18 23:00:16,1,想抱抱你   肩膀给你[爱心]+"
"119648272,2017-11-18 22:57:02,1,演唱会感觉你帅了1000000000个度+"
"309469183,2017-11-18 22:38:59,1,腾讯视频看完直播 激动不行 又发现首好听的歌啦 上次是半夜坐在咖啡馆外面听朋友弹唱过这首 那时候只觉得嗨 开心开心[憨笑]+"
"375223839,2017-11-18 22:27:58,4,没能去演唱会，在腾讯全程看完了直播，他们都期待成都，而我最期待这首我听了将近一千遍的鼓楼   在音乐节上总显你唱的时间太短，听不过瘾，那立个flag下年去你的演唱会酣畅淋漓的听过瘾一次吧  我想那时候我一定会哭着唱完[流泪][流泪]+"
"499084338,2017-11-18 22:24:16,0,对过往说晚安[亲亲]+"
"284119723,2017-11-18 22:16:09,2,忘不了鼓楼的感觉！忘不了北京那几日的感觉+"
"439082622,2017-11-18 22:13:43,1,刚刚看完腾讯直播过来的  很感动+"
"456401816,2017-11-18 21:51:50,1,来重温啦雷子，喜欢了你三年，谢谢你哦，陪我走过了最美最好的那段岁月，有你一直在鼓励，我一定会去一次你的演唱会的！！未来，依然最爱是你，雷子最可爱辣！！！啊啊啊啊啊啊啊啊送心！！希望多更微博啊啊啊！！！一年平均一条……我活不下去辣！！！！+"
"392678942,2017-11-18 20:52:23,0,好像走到哪里，鼓楼都是城市的中心，有了鼓楼才能分的清东西南北，才有了回归的心，西安鼓楼上次看月亮🌙，想家想哭+"
"1460972867,2018-05-18 23:24:04,1,我，喜欢雷子以画许多雷子主题的油画请去我动态看。+"
"123035552,2018-05-18 22:35:44,0,我喜欢的她出现了+"
"1392717456,2018-05-18 21:58:10,1,南京鼓区报道+"
"1458703266,2018-05-18 21:35:10,0,积极对待生活陌生人+"
"247041896,2018-05-18 21:31:39,0,是的+"
"78622461,2018-05-18 21:12:24,1,文艺青年很多+"
"1293318237,2018-05-18 20:04:07,0,加油陌生人。+"
"112750323,2018-05-18 19:51:28,0,嗯，就是喜欢❤️+"
"309972474,2018-05-18 19:26:56,0,单曲循环一小时。[可爱]+"
"409061617,2018-05-18 19:26:18,2,和声真棒!+"
"263822191,2018-05-18 18:53:22,0,大家好，我是从哲思里面认识这首歌的。+"
"424117047,2018-05-18 18:35:54,0,真好听+"
"509703341,2018-05-18 18:31:11,2,特别喜欢这首歌+"
"1450399402,2018-05-18 18:02:14,0,看看有多少人跟我一样喜欢听这首歌+"
"393402261,2018-05-18 17:48:48,2,城南花已开 愿君安常在+"
"505961228,2018-05-18 17:46:43,0,今天又孤独又不开心了+"
"583850357,2018-05-18 17:16:17,0,哈哈哈哈，看来小雷说的鼓楼是在福州+"
"99876350,2018-05-18 17:07:21,1,天天从鼓楼经过，车堵着，人很多，107，60，5路都经过那里。一个人无聊也不去后海，太喧嚣。+"
"1349948362,2018-05-18 17:03:09,0,107在省军区+"
"282791303,2018-05-18 16:55:36,1,祝福你。南无大悲观世音菩萨！+"
"297435185,2017-04-05 23:34:44,0,理解错了[大哭]+"
"297435185,2017-04-05 23:33:56,0,歌词里的是北京的吧[呆]+"
"65763000,2017-04-05 23:07:32,5,合肥也有一个鼓楼，也有很多平凡的人。后面是合肥最奢侈的银泰，很多平凡人在里面装着b。+"
"370603007,2017-04-05 23:05:03,2,不知道为什么，听这个歌，就特别想去西安…也许有一天我真的到了西安，听着这首歌，不知道什么心情+"
"81566182,2017-04-05 22:57:58,1,宁波也有鼓楼[大哭]+"
"133669755,2017-04-05 22:45:03,4,前天晚上去鼓楼啦，正好放的你的这首歌。坐在后海的酒吧里，唱的还是你的民谣[爱心]+"
"268699674,2017-04-05 22:22:19,0,帮你一把+"
"3838732,2017-04-05 22:15:44,2,被室友安利了这首歌~+"
"3838732,2017-04-05 22:14:26,0,哎呀不小心看到了+"
"300905913,2017-04-05 21:47:52,2,悄悄说在这里，我其实好想抱着雷子撒个娇。+"
"99533283,2017-04-05 21:42:15,1,祝福祝福+"
"396147903,2017-04-05 21:37:54,0,six。six。six+"
"65596073,2017-04-05 19:21:14,1,哈哈+"
"65596073,2017-04-05 19:20:53,1,我去西安玩了三天，西安还不错[大笑]+"
"357051015,2017-04-05 18:52:17,3,唱民谣的赵雷最帅+"
"75783517,2017-04-05 18:45:51,1,哈哈哈+"
"402175320,2017-04-05 18:45:21,0,我知道啊，川农不就在雅安吗，他们还说川农占了半个雅安呢+"
"75783517,2017-04-05 18:44:30,0,你是哪的+"
"75783517,2017-04-05 18:44:20,0,你不晓得雅安？+"
"127090573,2017-04-05 18:37:42,0,震惊：男默女泪，街头某男子丧心病狂跪地乞讨居然是为了得到另一个男人的一样东西。+"
"427707411,2017-10-15 17:18:37,7,2017年8月19日，从青海湖义工旅行一个月回来，在地铁2号线，一个旁边一个戴眼镜长发女生晕倒了，到站之后赶紧把她扶了出来，以为她低血糖，给她吃了一颗糖，买了一瓶饮料，看她在长椅上躺着，等了好久，由于还有事就交给地铁工作人员了，不知道她怎么样了，希望她健康+"
"98051823,2017-10-15 17:14:29,0,最近工作，学习，准备考试，房子装修……各种事情……很疲惫。睡个懒觉也成了一种奢侈……只有雷子的声音，让内心觉得温暖踏实～+"
"402655489,2017-10-15 16:10:26,0,新婚快乐+"
"505821410,2017-10-15 16:06:23,0,问题是老哥你不是他啊+"
